1_0,2_0,2_1,3_0,3_1,E
1.4794381e-12,5.1391784e-11,7.3411863e-10,3.4413234e-10,9.1456115e-10,33.966514
1.4760858e-12,5.0869425e-11,7.1661044e-10,3.3353007e-10,9.3453992e-10,35.516599
1.4724455e-12,5.0330896e-11,6.992942e-10,3.2261187e-10,9.521662e-10,37.137423
1.4685466e-12,4.9775938e-11,6.821473e-10,3.1142741e-10,9.6605128e-10,38.832214
1.4644319e-12,4.9204326e-11,6.65139e-10,3.0002122e-10,9.7518548e-10,40.604349
1.4601602e-12,4.8615992e-11,6.4826731e-10,2.8845738e-10,9.7911938e-10,42.457356
1.4558096e-12,4.8010946e-11,6.3152837e-10,2.767846e-10,9.7747856e-10,44.394926
1.4514652e-12,4.7389258e-11,6.1490356e-10,2.650473e-10,9.7041179e-10,46.420918
1.4471348e-12,4.6751032e-11,5.983613e-10,2.533138e-10,9.5797508e-10,48.539368
1.442787e-12,4.6096185e-11,5.8189485e-10,2.4161569e-10,9.4063281e-10,50.754495
1.4383788e-12,4.5424511e-11,5.6550626e-10,2.2999975e-10,9.1874353e-10,53.070711
1.4338524e-12,4.4735759e-11,5.4918637e-10,2.1852692e-10,8.9282856e-10,55.492628
1.4291381e-12,4.4029872e-11,5.3292303e-10,2.0721006e-10,8.634622e-10,58.025072
1.4242074e-12,4.3307407e-11,5.1671683e-10,1.9611304e-10,8.3116155e-10,60.673085
1.4190663e-12,4.2569069e-11,5.0056382e-10,1.8524592e-10,7.9649818e-10,63.441942
1.4137258e-12,4.1815033e-11,4.8446665e-10,1.7465901e-10,7.6004478e-10,66.337158
1.4082018e-12,4.1045156e-11,4.6842671e-10,1.6436751e-10,7.2227293e-10,69.364499
1.4025131e-12,4.0259528e-11,4.5244829e-10,1.5439908e-10,6.8366722e-10,72.529995
1.3966515e-12,3.9458552e-11,4.3654025e-10,1.4476476e-10,6.4473782e-10,75.83995
1.3905886e-12,3.8642742e-11,4.207087e-10,1.355005e-10,6.0576143e-10,79.300958
1.3842882e-12,3.7812925e-11,4.0497014e-10,1.2658719e-10,5.6712617e-10,82.91991
1.3777055e-12,3.6970093e-11,3.8933895e-10,1.1805014e-10,5.2911486e-10,86.704016
1.3708093e-12,3.611504e-11,3.7382582e-10,1.0991863e-10,4.9204569e-10,90.660813
1.3636394e-12,3.5247055e-11,3.584524e-10,1.021517e-10,4.5621593e-10,94.79818
1.356266e-12,3.4364544e-11,3.4324008e-10,9.4794795e-11,4.2177388e-10,99.124359
1.348781e-12,3.3468172e-11,3.2820562e-10,8.7798986e-11,3.8882745e-10,103.64797
1.3412329e-12,3.2568432e-11,3.1336448e-10,8.1192986e-11,3.5745962e-10,108.37801
1.3335219e-12,3.1670243e-11,2.9873532e-10,7.4968155e-11,3.277196e-10,113.32391
1.3254947e-12,3.075766e-11,2.8435135e-10,6.9101975e-11,2.9961224e-10,118.49553
1.3169615e-12,2.9827102e-11,2.7023702e-10,6.3591274e-11,2.7308609e-10,123.90315
1.3078516e-12,2.8894511e-11,2.5640345e-10,5.8442976e-11,2.4810876e-10,129.55756
1.2982596e-12,2.7964145e-11,2.4287123e-10,5.3621133e-11,2.2476415e-10,135.47
1.2883239e-12,2.7032025e-11,2.2966302e-10,4.9124402e-11,2.031272e-10,141.65227
1.2781875e-12,2.6096382e-11,2.167996e-10,4.4940364e-11,1.8323928e-10,148.11666
1.26784e-12,2.5160058e-11,2.043018e-10,4.105301e-11,1.6509795e-10,154.87607
1.257208e-12,2.4226234e-11,1.9218445e-10,3.7444226e-11,1.4864457e-10,161.94394
1.2462087e-12,2.329719e-11,1.8046198e-10,3.41069e-11,1.337496e-10,169.33436
1.2348174e-12,2.2373757e-11,1.6914595e-10,3.1034824e-11,1.2019507e-10,177.06205
1.2230365e-12,2.1455897e-11,1.5824705e-10,2.8211328e-11,1.0767977e-10,185.1424
1.2108711e-12,2.0547434e-11,1.4777514e-10,2.5606643e-11,9.609182e-11,193.5915
1.1983234e-12,1.9650369e-11,1.3774036e-10,2.3191891e-11,8.546875e-11,202.42617
1.1853959e-12,1.8764322e-11,1.2814895e-10,2.0967394e-11,7.5832273e-11,211.66403
1.1720927e-12,1.7891175e-11,1.1900179e-10,1.8934396e-11,6.7179837e-11,221.32346
1.1584157e-12,1.703358e-11,1.1029292e-10,1.7088422e-11,5.9477841e-11,231.42371
1.1443676e-12,1.6192599e-11,1.0202678e-10,1.5417746e-11,5.2653536e-11,241.98488
1.1299526e-12,1.5369098e-11,9.4202705e-11,1.3901571e-11,4.6585385e-11,253.02803
1.1151762e-12,1.4564844e-11,8.6810632e-11,1.2510481e-11,4.1105805e-11,264.57513
1.1000453e-12,1.3781513e-11,7.9841038e-11,1.1232952e-11,3.6145366e-11,276.6492
1.0845662e-12,1.3019035e-11,7.3290226e-11,1.0070861e-11,3.1708845e-11,289.27427
1.0687456e-12,1.2278839e-11,6.7148507e-11,9.0233489e-12,2.7788282e-11,302.4755
1.0525809e-12,1.1563021e-11,6.1399144e-11,8.0857481e-12,2.4357779e-11,316.27917
1.0360593e-12,1.0870875e-11,5.6032808e-11,7.2485933e-12,2.1368949e-11,330.71278
1.0191884e-12,1.0202939e-11,5.1036039e-11,6.4964521e-12,1.874551e-11,345.80508
1.0020125e-12,9.5603589e-12,4.6393225e-11,5.8101421e-12,1.6393841e-11,361.58613
9.8456269e-13,8.9441814e-12,4.208906e-11,5.1847003e-12,1.4287635e-11,378.08736
9.6682023e-13,8.3545362e-12,3.8108708e-11,4.6201863e-12,1.242484e-11,395.34163
9.487678e-13,7.7899027e-12,3.4436096e-11,4.1147975e-12,1.0795511e-11,413.38331
9.3042122e-13,7.2523065e-12,3.1055975e-11,3.6643685e-12,9.3797231e-12,432.24834
9.1179967e-13,6.7404708e-12,2.7950722e-11,3.2617845e-12,8.1451533e-12,451.97428
8.9291597e-13,6.2541749e-12,2.5105072e-11,2.8984379e-12,7.053395e-12,472.60044
8.737858e-13,5.7933652e-12,2.2505153e-11,2.5720651e-12,6.093575e-12,494.16788
8.5442969e-13,5.3581149e-12,2.0132291e-11,2.281592e-12,5.2604644e-12,516.71956
8.3485597e-13,4.9473933e-12,1.7972532e-11,2.0245263e-12,4.5435036e-12,540.30041
8.1506198e-13,4.5604784e-12,1.6011613e-11,1.7966049e-12,3.9255044e-12,564.95738
7.9505898e-13,4.1970032e-12,1.4237457e-11,1.5919741e-12,3.3833812e-12,590.73959
7.7486387e-13,3.8564331e-12,1.2632037e-11,1.4081014e-12,2.9068932e-12,617.69839
7.5449406e-13,3.5375332e-12,1.1185174e-11,1.2443801e-12,2.4934102e-12,645.88748
